"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 04, 2016","139.30","144.00","144.20","138.10","6.65M","-2.72%"
"Nov 03, 2016","143.20","144.80","146.80","142.40","4.95M","-1.14%"
"Nov 02, 2016","144.85","147.90","148.00","144.00","6.21M","-3.14%"
"Nov 01, 2016","149.55","150.30","151.90","148.50","4.97M","-0.43%"
"Oct 30, 2016","150.20","151.10","151.25","149.80","599.16K","-0.20%"
"Oct 28, 2016","150.50","149.00","151.25","148.70","4.63M","1.31%"
"Oct 27, 2016","148.55","151.20","152.20","146.50","7.27M","-2.30%"
"Oct 26, 2016","152.05","153.50","155.50","150.50","4.65M","-1.33%"
"Oct 25, 2016","154.10","155.60","155.70","153.10","3.43M","-0.68%"
"Oct 24, 2016","155.15","156.55","157.80","153.40","5.60M","-0.64%"
"Oct 21, 2016","156.15","155.15","157.30","153.15","6.98M","1.46%"
"Oct 20, 2016","153.90","152.70","155.30","151.65","5.93M","2.33%"
"Oct 19, 2016","150.40","152.35","152.35","149.10","4.02M","-0.79%"
"Oct 18, 2016","151.60","147.90","152.15","147.25","5.25M","3.30%"
"Oct 17, 2016","146.75","150.95","151.80","145.65","7.23M","-2.30%"
"Oct 14, 2016","150.20","149.00","151.55","146.55","5.90M","1.66%"
"Oct 13, 2016","147.75","152.90","152.90","144.85","7.21M","-4.06%"
"Oct 10, 2016","154.00","156.80","156.90","152.75","3.99M","-1.25%"
"Oct 07, 2016","155.95","155.80","157.25","154.10","6.47M","0.52%"
"Oct 06, 2016","155.15","158.55","160.10","153.40","8.22M","-2.36%"
"Oct 05, 2016","158.90","154.35","160.30","152.30","15.22M","3.59%"
"Oct 04, 2016","153.40","153.95","154.30","151.10","7.47M","0.36%"
"Oct 03, 2016","152.85","148.00","153.70","148.00","10.78M","4.58%"
"Sep 30, 2016","146.15","140.05","147.15","140.00","10.65M","4.36%"
